person_id,age,annual_salary_chf,entry_date,employer,annual_contribution_chf
100001,22,107797.86,2023-05-09,Helvetia Services AG,10111.33
100002,55,83647.36,2016-03-12,Bodensee Logistics AG,6866.24
100003,49,92453.99,2019-07-18,AlpenTech AG,9020.69
100004,39,,2015-02-25,Säntis Industries AG,9290.78
100005,38,78932.66,2019-12-21,Rhein Consulting GmbH,5451.06
100006,59,67969.32,2017-09-23,Rhein Consulting GmbH,7803.29
100007,22,89745.42,2018-09-10,AlpenTech AG,10244.39
100008,51,66672.33,2020-01-08,Rhein Consulting GmbH,7316.97
100009,27,93980.53,2018-07-23,Säntis Industries AG,9198.55
100010,22,101535.17,2019-05-02,AlpenTech AG,9870.11
100011,43,88597.57,2023-05-29,Rhein Consulting GmbH,8713.82
100012,64,76847.52,2023-11-28,Helvetia Services AG,7794.62
100013,53,90171.38,2015-01-24,Rhein Consulting GmbH,5499.46
100014,54,76443.89,2019-02-26,Bodensee Logistics AG,8981.05
100015,52,98839.85,2024-04-23,Säntis Industries AG,9403.25
100016,55,49034.69,2020-10-30,AlpenTech AG,5241.22
100017,42,75959.07,2017-04-04,Helvetia Services AG,6277.02
100018,24,46165.38,2021-07-10,Helvetia Services AG,2804.26
100019,58,55088.91,2016-08-04,Helvetia Services AG,4990.18
100020,39,106549.52,2015-03-29,Helvetia Services AG,9635.42
100021,42,98113.33,2021-12-14,Helvetia Services AG,8459.27
100022,35,69049.36,2020-08-30,AlpenTech AG,5550.4
100023,26,54954.94,2023-04-26,Rhein Consulting GmbH,4121.05
100024,62,30000.0,2018-10-16,Bodensee Logistics AG,2749.58
100025,55,72217.08,2024-05-22,Säntis Industries AG,5959.11
100026,142,125567.47,2019-08-19,Rhein Consulting GmbH,14841.56
100027,37,89827.92,2023-02-11,AlpenTech AG,6321.7
100028,57,71927.7,2016-02-07,AlpenTech AG,5695.23
100029,44,90371.44,2016-01-26,Bodensee Logistics AG,7016.22
100030,39,53902.75,2023-08-10,Bodensee Logistics AG,4991.32
100031,39,76648.18,2024-03-02,Helvetia Services AG,6895.03
100032,28,83790.59,2025-05-11,Rhein Consulting GmbH,8263.8
100033,22,80450.19,2018-07-27,Bodensee Logistics AG,9412.68
100034,44,96234.51,2015-03-31,Rhein Consulting GmbH,7420.96
100035,60,88203.61,2025-10-09,AlpenTech AG,8958.51
100036,21,94029.87,2021-08-11,Säntis Industries AG,5783.06
100037,59,69609.3,2017-09-19,Helvetia Services AG,5272.44
100038,57,98160.68,2023-05-25,Bodensee Logistics AG,8620.78
100039,31,111320.87,2024-12-08,Bodensee Logistics AG,6886.27
100040,48,64537.31,2018-02-17,Säntis Industries AG,6264.0
100041,25,66021.48,2023-06-18,Helvetia Services AG,6648.27
100042,54,106044.12,2023-08-29,Helvetia Services AG,11113.84
100043,51,78555.81,2020-07-07,Helvetia Services AG,7148.14
100044,35,107268.79,2021-12-13,Helvetia Services AG,10323.19
